locale	file	type	key	snippet
values-ar-rSA	strings.xml	missing_key	title_template_description_tablayout_tabactivity	
values-ar-rSA	strings.xml	missing_key	title_template_description_basicactivity	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_lines_swapUp	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_lines_swapDown	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_selection_moveUp	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_selection_moveRight	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_selection_moveLeft	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_selection_moveDown	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_cursor_nextLocation	
values-ar-rSA	strings.xml	missing_key	title_menus_editor_cursor_prevLocation	
values-ar-rSA	strings.xml	missing_key	java_to_kotlin	
values-ar-rSA	strings.xml	missing_key	action_format_code	
values-ar-rSA	strings.xml	missing_key	action_show_snippets	
values-ar-rSA	strings.xml	missing_key	action_show_code_outline	
values-ar-rSA	strings.xml	missing_key	app_name	
values-ar-rSA	strings.xml	missing_key	about_footer_alternate	
values-ar-rSA	strings.xml	missing_key	title_github	
values-ar-rSA	strings.xml	missing_key	view_apm_panel	
values-ar-rSA	strings.xml	missing_key	gradle	
values-ar-rSA	strings.xml	missing_key	template_cpp	
values-ar-rSA	strings.xml	missing_key	template_compose	
values-ar-rSA	strings.xml	missing_key	idepref_editor_category_common	
values-ar-rSA	strings.xml	missing_key	idepref_editor_category_java	
values-ar-rSA	strings.xml	missing_key	msg_drawer_for_files	
values-ar-rSA	strings.xml	missing_key	xml	
values-ar-rSA	strings.xml	missing_key	ui_category_widgets	
values-ar-rSA	strings.xml	missing_key	ui_category_layouts	
values-ar-rSA	strings.xml	missing_key	widget_view	
values-ar-rSA	strings.xml	missing_key	widget_textview	
values-ar-rSA	strings.xml	missing_key	widget_button	
values-ar-rSA	strings.xml	missing_key	widget_checkbox	
values-ar-rSA	strings.xml	missing_key	widget_checked_textview	
values-ar-rSA	strings.xml	missing_key	widget_edittext	
